OBJECTID,gridcode,pkey,longitude,latitude
286,23042,23042,-27.2500000,82.2500000
287,23072,23072,-26.7500000,82.2500000
288,23102,23102,-26.2500000,82.2500000
289,23133,23133,-25.7500000,82.2500000
290,23167,23167,-25.2500000,82.2500000
291,23198,23198,-24.7500000,82.2500000
292,23232,23232,-24.2500000,82.2500000
293,23265,23265,-23.7500000,82.2500000
294,23299,23299,-23.2500000,82.2500000
295,23335,23335,-22.7500000,82.2500000
296,23368,23368,-22.2500000,82.2500000
297,23398,23398,-21.7500000,82.2500000
298,23423,23423,-21.2500000,82.2500000
299,23448,23448,-20.7500000,82.2500000
300,23475,23475,-20.2500000,82.2500000
301,23500,23500,-19.7500000,82.2500000
302,23524,23524,-19.2500000,82.2500000
303,9119,9119,-91.7500000,81.7500000
304,9222,9222,-91.2500000,81.7500000
305,9324,9324,-90.7500000,81.7500000
306,9425,9425,-90.2500000,81.7500000
307,9526,9526,-89.7500000,81.7500000
308,9629,9629,-89.2500000,81.7500000
309,9732,9732,-88.7500000,81.7500000
310,9838,9838,-88.2500000,81.7500000
311,9937,9937,-87.7500000,81.7500000
312,10033,10033,-87.2500000,81.7500000
313,10128,10128,-86.7500000,81.7500000
314,10222,10222,-86.2500000,81.7500000
315,10323,10323,-85.7500000,81.7500000
316,10427,10427,-85.2500000,81.7500000
317,10530,10530,-84.7500000,81.7500000
318,10635,10635,-84.2500000,81.7500000
319,10744,10744,-83.7500000,81.7500000
320,10848,10848,-83.2500000,81.7500000
321,10947,10947,-82.7500000,81.7500000
322,11050,11050,-82.2500000,81.7500000
323,11150,11150,-81.7500000,81.7500000
324,11255,11255,-81.2500000,81.7500000
325,11351,11351,-80.7500000,81.7500000
326,11449,11449,-80.2500000,81.7500000
327,11545,11545,-79.7500000,81.7500000
328,11645,11645,-79.2500000,81.7500000
329,11748,11748,-78.7500000,81.7500000
330,11865,11865,-78.2500000,81.7500000
331,11992,11992,-77.7500000,81.7500000
332,12127,12127,-77.2500000,81.7500000
333,12265,12265,-76.7500000,81.7500000
334,12405,12405,-76.2500000,81.7500000
335,12545,12545,-75.7500000,81.7500000
336,12689,12689,-75.2500000,81.7500000
337,12832,12832,-74.7500000,81.7500000
338,12985,12985,-74.2500000,81.7500000
339,13146,13146,-73.7500000,81.7500000
340,13307,13307,-73.2500000,81.7500000
341,13478,13478,-72.7500000,81.7500000
342,13653,13653,-72.2500000,81.7500000
343,13839,13839,-71.7500000,81.7500000
344,14032,14032,-71.2500000,81.7500000
345,14228,14228,-70.7500000,81.7500000
346,14437,14437,-70.2500000,81.7500000
347,14643,14643,-69.7500000,81.7500000
348,14846,14846,-69.2500000,81.7500000
349,15043,15043,-68.7500000,81.7500000
350,15236,15236,-68.2500000,81.7500000
351,15423,15423,-67.7500000,81.7500000
352,15608,15608,-67.2500000,81.7500000
353,15788,15788,-66.7500000,81.7500000
354,15963,15963,-66.2500000,81.7500000
355,16135,16135,-65.7500000,81.7500000
356,16304,16304,-65.2500000,81.7500000
357,16474,16474,-64.7500000,81.7500000
358,16635,16635,-64.2500000,81.7500000
359,16791,16791,-63.7500000,81.7500000
360,16942,16942,-63.2500000,81.7500000
361,17090,17090,-62.7500000,81.7500000
362,17377,17377,-61.7500000,81.7500000
363,17518,17518,-61.2500000,81.7500000
364,17652,17652,-60.7500000,81.7500000
365,17782,17782,-60.2500000,81.7500000
366,17907,17907,-59.7500000,81.7500000
367,18033,18033,-59.2500000,81.7500000
368,18156,18156,-58.7500000,81.7500000
369,18279,18279,-58.2500000,81.7500000
370,18401,18401,-57.7500000,81.7500000
371,18522,18522,-57.2500000,81.7500000
372,18638,18638,-56.7500000,81.7500000
373,18756,18756,-56.2500000,81.7500000
374,18874,18874,-55.7500000,81.7500000
375,18988,18988,-55.2500000,81.7500000
376,19103,19103,-54.7500000,81.7500000
377,19219,19219,-54.2500000,81.7500000
378,19337,19337,-53.7500000,81.7500000
379,19456,19456,-53.2500000,81.7500000
380,19572,19572,-52.7500000,81.7500000
381,19686,19686,-52.2500000,81.7500000
382,19799,19799,-51.7500000,81.7500000
383,19911,19911,-51.2500000,81.7500000
384,20019,20019,-50.7500000,81.7500000
385,20127,20127,-50.2500000,81.7500000
386,20229,20229,-49.7500000,81.7500000
387,20331,20331,-49.2500000,81.7500000
388,20433,20433,-48.7500000,81.7500000
389,20530,20530,-48.2500000,81.7500000
390,20625,20625,-47.7500000,81.7500000
