INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade10,0.368,0.001
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade11,0.4312,0.134529511662609
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade12,0.4944,0.519395492674783
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade13,0.5576,1.13354430772522
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade14,0.6208,1.95492232150261
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade15,0.684,2.96147589869565
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade16,0.7472,4.13115140399305
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade17,0.8104,5.44189520208348
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade18,0.8736,6.87165365765565
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade19,0.9368,8.39837313539826
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade20,1,10
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade2,0.0318888888888889,1.1358024691358e-05
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade3,0.0637777777777778,2.08641975308642e-05
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade4,0.0956666666666666,4.66666666666667e-05
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade5,0.127555555555556,9.69135802469136e-05
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade6,0.159444444444444,0.000179753086419753
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade7,0.191333333333333,0.000303333333333333
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade8,0.223222222222222,0.000475802469135803
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade9,0.255111111111111,0.000705308641975309
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade10,0.287,0.001
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade11,0.3583,0.127430852462683
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade12,0.4296,0.493791370738397
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade13,0.5009,1.08289702577537
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade14,0.5722,1.87756328852181
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade15,0.6435,2.86060562992596
